종목,date,series,value
SK스퀘어,2026-03-17,20일 이동평균,389175.0
SK스퀘어,2026-03-18,종가,383500.0
SK스퀘어,2026-03-18,5일 이동평균,376600.0
SK스퀘어,2026-03-18,20일 이동평균,387850.0
SK스퀘어,2026-03-19,종가,371000.0
SK스퀘어,2026-03-19,5일 이동평균,374000.0
SK스퀘어,2026-03-19,20일 이동평균,386650.0
SK스퀘어,2026-03-20,종가,375500.0
SK스퀘어,2026-03-20,5일 이동평균,375300.0
SK스퀘어,2026-03-20,20일 이동평균,385250.0
SK스퀘어,2026-03-23,종가,356000.0
SK스퀘어,2026-03-23,5일 이동평균,373300.0
SK스퀘어,2026-03-23,20일 이동평균,382975.0
SK스퀘어,2026-03-24,종가,392500.0
SK스퀘어,2026-03-24,5일 이동평균,375700.0
SK스퀘어,2026-03-24,20일 이동평균,382800.0
SK스퀘어,2026-03-25,종가,394000.0
SK스퀘어,2026-03-25,5일 이동평균,377800.0
SK스퀘어,2026-03-25,20일 이동평균,381875.0
SK스퀘어,2026-03-26,종가,384500.0
SK스퀘어,2026-03-26,5일 이동평균,380500.0
SK스퀘어,2026-03-26,20일 이동평균,379800.0
SK스퀘어,2026-03-27,종가,394500.0
SK스퀘어,2026-03-27,5일 이동평균,384300.0
SK스퀘어,2026-03-27,20일 이동평균,378175.0
